id,reference_id,internal_id,broker_id,contact_id,user_id,payment_method_id,currency,offline,extra,amount,refunded_amount,status,card_bin_id,ip_address,by_payment_link,captured_at,created_at,updated_at,archived_at,created_by,updated_by
10219208,100518244000126132,0197c4ae_3502_712c_a74a_9261dfbd0373,375,123890,,10000073,KWD,False,{'authorization_code': None},250.0,0.0,Captured,,66.249.93.135,True,2025-07-01 06:32:08.614000+00:00,2025-07-01 06:30:40.663000+00:00,2025-07-01 06:32:08.614000+00:00,,,
10219236,100518288000109532,0197c4b2_ec02_71e8_a789_96e2a1ab898e,1396,108790,,10000073,KWD,False,{'authorization_code': None},280.0,0.0,Captured,,142.250.32.3,True,2025-07-01 06:37:47.084000+00:00,2025-07-01 06:35:49.646000+00:00,2025-07-01 06:37:47.085000+00:00,,,
10219218,172603687,0197c4b0_0cb7_70c9_8601_c0bc135527cb,2643,80367,,10000073,KWD,False,{},180.0,0.0,Not_captured,,66.249.93.172,True,,2025-07-01 06:32:41.413000+00:00,2025-07-01 06:33:11.285000+00:00,,,
10219214,100518289000104413,0197c4af_6d36_778c_854e_848454228094,413,117279,27074,10000073,KWD,False,{'authorization_code': None},1000.0,0.0,Captured,,66.249.93.163,True,2025-07-01 06:32:33.003000+00:00,2025-07-01 06:32:00.576000+00:00,2025-07-01 06:32:33.003000+00:00,,27074,27074
10219213,100518241000122311,0197c4af_3f8c_74a2_b3df_648ae0123b50,1937,10012358,10009880,10000073,KWD,False,{'authorization_code': None},360.0,0.0,Captured,,66.249.93.78,True,2025-07-01 06:33:25.730000+00:00,2025-07-01 06:31:48.888000+00:00,2025-07-01 06:33:25.730000+00:00,,10009880,10009880
10219215,100518287000107544,0197c4af_779c_7443_b884_deb2f26b1a20,188,10004438,,10000073,KWD,False,{'authorization_code': None},230.0,0.0,Captured,,66.249.93.228,True,2025-07-01 06:35:12.615000+00:00,2025-07-01 06:32:03.239000+00:00,2025-07-01 06:35:12.615000+00:00,,,
10219216,100518270000103396,0197c4af_ed92_74b9_8609_df3be2307d8e,10000265,10007813,,10000073,KWD,False,{'authorization_code': None},220.0,0.0,Captured,,66.249.93.224,True,2025-07-01 06:33:20.135000+00:00,2025-07-01 06:32:33.438000+00:00,2025-07-01 06:33:20.135000+00:00,,,
10219231,100518288000109152,0197c4b1_db35_706e_9731_54496653d3d6,7523,10009731,,10000073,KWD,False,{'authorization_code': None},210.0,0.0,Captured,,66.249.93.77,True,2025-07-01 06:35:47.372000+00:00,2025-07-01 06:34:39.808000+00:00,2025-07-01 06:35:47.372000+00:00,,,
10219235,100518287000108626,0197c4b2_6129_72d3_acd7_fc11fe3fc316,2739,84509,,10000073,KWD,False,{'authorization_code': None},375.0,0.0,Captured,,66.249.93.173,True,2025-07-01 06:36:11.481000+00:00,2025-07-01 06:35:14.102000+00:00,2025-07-01 06:36:11.481000+00:00,,,
10219217,100518227000121100,0197c4b0_033b_74b2_b3d3_3a08b2a28290,6385,10008105,,10000073,KWD,False,{'authorization_code': None},720.0,0.0,Captured,,66.249.93.33,True,2025-07-01 06:33:30.143000+00:00,2025-07-01 06:32:38.991000+00:00,2025-07-01 06:33:30.143000+00:00,,,
